CMDLINE C:\Users\User\PycharmProjects\kurs\.venv\Scripts\python.exe tetris.py
MEM 3.097656 1717483361.3319
MEM 3.097656 1717483361.4329
MEM 3.097656 1717483361.5339
MEM 3.097656 1717483361.6349
MEM 3.097656 1717483361.7355
MEM 3.097656 1717483361.8365
MEM 3.097656 1717483361.9371
MEM 3.097656 1717483362.0381
MEM 3.097656 1717483362.1392
MEM 3.097656 1717483362.2396
MEM 3.097656 1717483362.3407
MEM 3.097656 1717483362.4417
MEM 3.097656 1717483362.5427
MEM 3.097656 1717483362.6435
MEM 3.097656 1717483362.7448
MEM 3.097656 1717483362.8458
MEM 3.097656 1717483362.9468
MEM 3.097656 1717483363.0473
MEM 3.097656 1717483363.1483
MEM 3.097656 1717483363.2492
MEM 3.097656 1717483363.3502
MEM 3.097656 1717483363.4512
MEM 3.097656 1717483363.5522
MEM 3.097656 1717483363.6532
MEM 3.097656 1717483363.7542
MEM 3.097656 1717483363.8552
MEM 3.097656 1717483363.9563
MEM 3.097656 1717483364.0573
MEM 3.097656 1717483364.1583
MEM 3.097656 1717483364.2593
MEM 3.097656 1717483364.3603
MEM 3.097656 1717483364.4613
MEM 3.097656 1717483364.5618
MEM 3.097656 1717483364.6623
MEM 3.097656 1717483364.7633
MEM 3.097656 1717483364.8643
MEM 3.097656 1717483364.9653
MEM 3.097656 1717483365.0663
MEM 3.097656 1717483365.1673
MEM 3.097656 1717483365.2683
MEM 3.097656 1717483365.3693
MEM 3.097656 1717483365.4704
MEM 3.097656 1717483365.5714
MEM 3.097656 1717483365.6725
MEM 3.097656 1717483365.7736
MEM 3.097656 1717483365.8745
MEM 3.097656 1717483365.9755
MEM 3.097656 1717483366.0764
MEM 3.097656 1717483366.1774
MEM 3.097656 1717483366.2784
MEM 3.097656 1717483366.3794
MEM 3.097656 1717483366.4804
MEM 3.097656 1717483366.5814
MEM 3.097656 1717483366.6824
MEM 3.097656 1717483366.7834
MEM 3.097656 1717483366.8844
MEM 3.097656 1717483366.9854
MEM 3.097656 1717483367.0864
MEM 3.097656 1717483367.1874
MEM 3.097656 1717483367.2884
MEM 3.097656 1717483367.3889
MEM 3.097656 1717483367.4900
MEM 3.097656 1717483367.5910
MEM 3.097656 1717483367.6920
MEM 3.097656 1717483367.7926
MEM 3.097656 1717483367.8936
MEM 3.097656 1717483367.9946
MEM 3.097656 1717483368.0955
MEM 3.097656 1717483368.1965
MEM 3.097656 1717483368.2975
MEM 3.097656 1717483368.3985
MEM 3.097656 1717483368.4995
MEM 3.097656 1717483368.6006
MEM 3.097656 1717483368.7011
MEM 3.097656 1717483368.8021
MEM 3.097656 1717483368.9027
MEM 3.097656 1717483369.0038
MEM 3.097656 1717483369.1048
MEM 3.097656 1717483369.2058
MEM 3.097656 1717483369.3068
MEM 3.097656 1717483369.4078
MEM 3.097656 1717483369.5088
MEM 3.097656 1717483369.6097
MEM 3.097656 1717483369.7107
MEM 3.097656 1717483369.8117
MEM 3.097656 1717483369.9127
MEM 3.097656 1717483370.0132
MEM 3.097656 1717483370.1142
MEM 3.097656 1717483370.2152
MEM 3.097656 1717483370.3163
MEM 3.097656 1717483370.4173
MEM 3.097656 1717483370.5183
MEM 3.097656 1717483370.6196
MEM 3.097656 1717483370.7201
MEM 3.097656 1717483370.8207
MEM 3.097656 1717483370.9217
MEM 3.097656 1717483371.0227
MEM 3.097656 1717483371.1232
MEM 3.097656 1717483371.2242
MEM 3.097656 1717483371.3252
MEM 3.097656 1717483371.4262
MEM 3.097656 1717483371.5272
MEM 3.097656 1717483371.6282
MEM 3.097656 1717483371.7293
MEM 3.097656 1717483371.8304
MEM 3.097656 1717483371.9314
MEM 3.097656 1717483372.0324
MEM 3.097656 1717483372.1334
MEM 3.097656 1717483372.2343
MEM 3.097656 1717483372.3353
MEM 3.097656 1717483372.4359
MEM 3.097656 1717483372.5369
MEM 3.097656 1717483372.6379
MEM 3.097656 1717483372.7389
MEM 3.097656 1717483372.8399
MEM 3.097656 1717483372.9409
MEM 3.097656 1717483373.0419
MEM 3.097656 1717483373.1430
MEM 3.097656 1717483373.2440
MEM 3.097656 1717483373.3450
MEM 3.097656 1717483373.4460
MEM 3.097656 1717483373.5470
MEM 3.097656 1717483373.6480
MEM 3.097656 1717483373.7482
MEM 3.097656 1717483373.8492
MEM 3.097656 1717483373.9502
MEM 3.097656 1717483374.0512
MEM 3.097656 1717483374.1517
MEM 3.097656 1717483374.2527
MEM 3.097656 1717483374.3529
MEM 3.097656 1717483374.4539
MEM 3.097656 1717483374.5550
MEM 3.097656 1717483374.6560
MEM 3.097656 1717483374.7570
MEM 3.097656 1717483374.8580
MEM 3.097656 1717483374.9590
MEM 3.097656 1717483375.0599
MEM 3.097656 1717483375.1611
